Timestamp,Radius,Kp,Latitude,Longitude,F_res_CHAOS,Dst,F_res_IGRF,Spacecraft,B_NEC_res_IGRF_N,B_NEC_res_IGRF_E,B_NEC_res_IGRF_C,B_NEC_res_CHAOS_N,B_NEC_res_CHAOS_E,B_NEC_res_CHAOS_C
2024-05-13 00:00:00,6854917.51,6.333,-21.1940663,103.4951753,-9.464166550693335,-87.5,-67.0107754644996,A,-118.00678212300409,20.46029347739136,-1.7440949129522778,-23.020102122594835,-15.837574962458802,-3.833926834005979
2024-05-13 00:01:00,6854489.88,6.333,-17.3749103,103.4434754,-9.836063704606204,-87.34997599605957,-81.29174651231733,A,-124.89178129788706,29.877358471251682,-0.37138822022097884,-22.621077049319865,-11.620991517773291,-5.653126014029112
2024-05-13 00:02:00,6854024.63,6.333,-13.5548602,103.3836611,-10.207489702072053,-87.1999519925121,-95.89932613276324,A,-129.4767651132679,35.465192779989366,2.5120988733942795,-19.18717601829485,-11.232638227501297,-4.485716359577054
2024-05-13 00:03:00,6853522.16,6.333,-9.7339626,103.3178298,-10.567546576057794,-87.04992798857167,-110.80817244772334,A,-132.97392098077034,40.88851551757159,7.024535755121178,-15.850279757341923,-11.104241270413581,-2.519127484411001
2024-05-13 00:04:00,6852983.350000001,6.333,-5.9122632,103.24784439999999,-12.81708423726377,-86.89990398463124,-132.06387957686093,A,-146.75436190108667,48.51719244393723,8.393015808032942,-16.210176159645926,-9.691684487610587,-1.442811088196322
2024-05-13 00:05:00,6852409.58,6.333,-2.0898082,103.1754126,-12.742062032230024,-86.74987998069079,-146.95775627627881,A,-157.92504816203655,53.60405453161633,-0.7490080446150387,-15.191673457611614,-13.357360935677804,-2.149105110704113
2024-05-13 00:06:00,6851802.79,6.333,1.7333531999999998,103.1021523,-13.80543056809256,-86.59985597714333,-161.82071777838428,A,-168.61191246878298,61.382949923222185,-13.330494281509345,-15.306507071843953,-12.734910675902029,-2.184549347029133
2024-05-13 00:07:00,6851165.72,6.333,5.5571695,103.02965139999999,-11.166674498737848,-86.4498319732029,-168.1413081688588,A,-169.8609750300966,67.63084832159905,-27.406291866668653,-11.834161289101758,-12.66797172229758,1.9687861444433565
2024-05-13 00:08:00,6850501.73,6.333,9.3815858,102.9595251,-8.379005841779872,-86.29980796926246,-169.58512807755687,A,-165.60148992701215,75.18024494733174,-43.071087302341766,-9.72245702496366,-10.326709690554594,5.068443319119979
2024-05-13 00:09:00,6849814.73,6.333,13.206543799999999,102.8934757,-5.762412148571457,-86.14978396532203,-166.7823365567674,A,-157.2391078512519,79.63701071063701,-54.60227766108437,-9.079037306335522,-8.832950664642908,8.849915623879497
